Profile ID,Organization Name,Membership Level Name,Primary Listing Category,Profile County,Resolved County,Profile Zip Code,is_active,is_dup_by_address,is_additional_listing_tier,is_non_covered_category,is_in_county,is_tier_a,is_tier_b
676,"Hofstadter & Associates, Inc.",Basic Membership,"Architects, Engineers & Planners",Bibb,Bibb,31210,True,False,False,False,True,True,True
690,Housing Authority of Macon-Bibb County,Basic Membership,Government,Bibb,Bibb,31201,True,False,False,True,True,True,False
693,"Howard, Moore & McDuffie, P.C.",Basic Membership,Accounting Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
699,Hudspeth Animal Hospital,Basic Membership,Veterinary & Pets,Bibb,Bibb,31204,True,False,False,False,True,True,True
700,"Triple Point Engineering, Inc.",Basic Membership,"Architects, Engineers & Planners",Bibb,Bibb,31210,True,False,False,False,True,True,True
702,"Hutchings Funeral Home, Inc.",Basic Membership,Funeral & Burial Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
705,Idle Hour Club,Economic Driver,Country Clubs & Golf Courses,Bibb,Bibb,31210,True,False,False,False,True,True,True
719,"Internal Medicine Associates, P.C.",Economic Driver,Health Care & Medical Services,Bibb,Bibb,31217,True,False,False,False,True,True,True
729,Mercedes Benz/Volvo/Subaru of Macon,Business Catalyst,Automotive,Bibb,Bibb,31210,True,False,False,False,True,True,True
733,James Bates Brannan Groover LLP,Economic Driver,Legal Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
737,"Jean and Hall Florists, LLC",Basic Membership,Shopping & Retail,Bibb,Bibb,31201,True,False,False,False,True,True,True
744,"Jones Cork, LLP",Community Advocate,Legal Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
745,"Ocmulgee Fields, Inc.",Basic Membership,Real Estate,Bibb,Bibb,31210,True,False,False,False,True,True,True
755,"Kaybee of Macon, Inc.",Basic Membership,Shopping & Retail,Bibb,Bibb,31201,True,False,False,False,True,True,True
758,"Cherry Blossom Festival, Macon GA International",Basic Membership,"Arts, Entertainment & Attractions",Bibb,Bibb,31201,True,True,False,False,True,True,True
762,Ken's Stereo Macon and Warner Robins,Basic Membership,Shopping & Retail,Bibb,Bibb,31204,True,False,False,False,True,True,True
786,"Lamb & Braswell, LLC",Basic Membership,Accounting Services,Bibb,Bibb,31210,True,False,False,False,True,True,True
798,"Bob Lewis & Associates, Inc.",Basic Membership,Real Estate,Bibb,Bibb,31201,True,False,False,False,True,True,True
812,Lintech International,Business Catalyst,"Industrial, Manufacturing & Logistics",Bibb,Bibb,31216,True,False,False,False,True,True,True
