"10885","6420 Moseley Dixon Road, Macon, GA, 31220","Match","Exact","6420 MOSELEY DIXON RD, MACON, GA, 31220","-83.769928646901,32.831259354271","636327558","R"
"11732","240 Coliseum Drive, Macon, GA, 31217","Match","Exact","240 COLISEUM DR, MACON, GA, 31217","-83.617778052994,32.84228837993","81084211","L"
"72930","P.O. Box 4141, Macon, GA, 31208","No_Match"
"1022","555 Poplar Street, Macon, GA, 31201","Match","Exact","555 POPLAR ST, MACON, GA, 31201","-83.629550032183,32.83479866719","81062867","R"
"1384","301 Poplar Street, Macon, GA, 31201","Match","Exact","301 POPLAR ST, MACON, GA, 31201","-83.625519999376,32.832568506029","81062969","R"
"1261","441 Lower Boundary Street, Macon, GA, 31206","Match","Exact","441 LOWER BOUNDARY ST, MACON, GA, 31206","-83.627880999114,32.814869134032","620605859","R"
"1382","1314 Gray Highway, Macon, GA, 31211","Match","Exact","1314 GRAY HWY, MACON, GA, 31211","-83.614698389274,32.860124563265","81084494","L"
"1260","2135 Broadway, Macon, GA, 31206","Match","Exact","2135 BROADWAY, MACON, GA, 31206","-83.640066275224,32.816002390874","81081182","R"
"1381","599 Martin Luther King Jr. Blvd., Macon, GA, 31201","Match","Exact","599 MARTIN LUTHER KING JR BLVD, MACON, GA, 31201","-83.627667432624,32.83281136194","81062967","R"
"78240","536 Third Street, Suite 3, Macon, GA, 31201","Match","Exact","536 3RD ST, MACON, GA, 31201","-83.628949569713,32.833609690357","81085893","L"
"78361","1015 Riverside Drive, Macon, GA, 31201","Match","Exact","1015 RIVERSIDE DR, MACON, GA, 31201","-83.632086495754,32.844449189959","81062678","R"
"58635","640 Martin Luther King, Jr. Blvd., Suite 200, Macon, GA, 31201","Match","Exact","640 MARTIN LUTHER KING JR BLVD, MACON, GA, 31201","-83.62889996844,32.831177559396","81063073","L"
"10975","6000 Thomaston Road, Macon, GA, 31220","Match","Exact","6000 THOMASTON RD, MACON, GA, 31220","-83.754610049053,32.844368915152","650727834","R"
"11701","1514 Bass Road, Macon, GA, 31210","Match","Exact","1514 BASS RD, MACON, GA, 31210","-83.737474886018,32.925972634026","81084828","L"
"78001","P.O. Box 339, Bolingbroke, GA, 31046","No_Match"
"78488","438 Cherry Street, Macon, GA, 31201","Match","Exact","438 CHERRY ST, MACON, GA, 31201","-83.626517977884,32.835001782034","81062962","L"
"1137","3312 Northside Drive Suite D100, Macon, GA, 31210","Match","Exact","3312 NORTHSIDE DR, MACON, GA, 31210","-83.682091798784,32.892918070525","81069934","L"
"1015","201 North Macon Street, Macon, GA, 31210","No_Match"
"58873","P.O. Box 929, Macon, GA, 31202","No_Match"
"78127","1448 Bass Road, Suite 1101, Macon, GA, 31210","Match","Exact","1448 BASS RD, MACON, GA, 31210","-83.739767785439,32.923493855629","81084824","L"
"78368","2400 Herodian Way SE, Suite 220, Smyrna, GA, 30080","Match","Non_Exact","2400 HERODIAN WAY, SMYRNA, GA, 30080","-84.47393241359,33.89292306842","656587428","L"
"831","389 Mulberry Street, Suite 100, Macon, GA, 31201","Match","Exact","389 MULBERRY ST, MACON, GA, 31201","-83.624617627667,32.836172210297","81062983","R"
